id,fuente,titulo,moneda,precio_uf,precio_clp,gastos_comunes_clp,gastos_comunes_estimado,total_estimado_clp,dormitorios,banos,superficie_m2,antiguedad_anios,admite_mascotas,estacionamientos,bodegas,amoblado,piso,orientacion,direccion,comuna,barrio,metro_cercano,metro_dist_m,corredor,plazo_entrega,lat,lng,relevancia,match_perfecto,dentro_presupuesto,calza_dormitorios,es_nuevo,precio_anterior,precio_delta,grupo_carac,precio_grupo_prom,delta_grupo_pct,etiqueta_precio,url,google_maps
bf5cd735f1e1af5e,portalinmobiliario,Departamento Fray Camilo Henríquez Id: 177737,CLP,,220000,40000,False,260000,1,1,20.0,15,False,0,0,False,,,"Fray Camilo Henríquez, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Isabel,418,True,,-33.4537634,-70.6327497,105,True,True,True,False,,,Santa Isabel · 1D 1B · <35 m²,327400,-32.8,oferta,https://portalinmobiliario.com/MLC-4364241306-departamento-fray-camilo-henriquez-id-177737-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4537634,-70.6327497"
6a1504b3aafec082,portalinmobiliario,Arriendo Departamento 1hab 1ba Santiago,CLP,,250000,30000,False,280000,1,1,17.0,36,True,0,0,False,2,S,"Namur, 67, Barrio Lastarria, Santiago",Santiago,Lastarria,Universidad Católica,325,True,,-33.4380404,-70.6385263,105,True,True,True,False,,,Lastarria · 1D 1B · <35 m²,290000,-13.8,oferta,https://portalinmobiliario.com/MLC-2180243949-arriendo-departamento-1hab-1ba-santiago-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4380404,-70.6385263"
333ead7e011697a3,portalinmobiliario,Studio Sin Comisión | Dueño Directo | Metro Santa Isabel,CLP,,240000,40000,False,280000,1,1,20.0,16,True,0,0,False,14,O,"Fray Camilo Henríquez 440, Santiago, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Isabel,454,True,,-33.4474162,-70.6344585,105,True,True,True,False,,,Santa Isabel · 1D 1B · <35 m²,327400,-26.7,oferta,https://portalinmobiliario.com/MLC-4361683954-studio-sin-comision-dueno-directo-metro-santa-isabel-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4474162,-70.6344585"
1843e69e8e54733c,portalinmobiliario,Departamento Estudio Cercano Metro Santa Isabel,CLP,,240000,40000,False,280000,1,1,,,False,0,0,False,,SO,"Fray Camilo Henríquez, Santiago, Chile, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Isabel,418,True,,-33.4537634,-70.6327497,105,True,True,True,True,,,Santiago · 1D,325000,-26.2,oferta,https://portalinmobiliario.com/MLC-4385473114-departamento-estudio-cercano-metro-santa-isabel-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4537634,-70.6327497"
80c41848778d912d,portalinmobiliario,Departamento Fray Camilo Henríquez Id: 178124,CLP,,250000,40000,False,290000,1,1,18.0,15,False,0,0,False,,NP,"Fray Camilo Henríquez, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Isabel,418,True,,-33.4537634,-70.6327497,105,True,True,True,False,,,Santa Isabel · 1D 1B · <35 m²,327400,-23.6,oferta,https://portalinmobiliario.com/MLC-4366248572-departamento-fray-camilo-henriquez-id-178124-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4537634,-70.6327497"
ebb4d22e47f282b4,portalinmobiliario,"Home Studio $255.000, Vista Oriente, Metro Santa Isabel",CLP,,255000,40000,False,295000,1,1,20.0,15,False,0,0,False,6,O,"Fray Camilo Henríquez 440, Santiago, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Isabel,454,True,,-33.4474162,-70.6344585,105,True,True,True,False,,,Santa Isabel · 1D 1B · <35 m²,327400,-22.1,oferta,https://portalinmobiliario.com/MLC-2145273913-home-studio-255000-vista-oriente-metro-santa-isabel-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4474162,-70.6344585"
8c52268ccb054db6,portalinmobiliario,Studio Central De 1d / Eleuterio Ramírez,CLP,,250000,50000,False,300000,1,1,20.0,20,True,0,0,False,14,N,"Santa Isabel, Santiago",Santiago,Santa Isabel,La Moneda,335,True,,-33.4448365,-70.6566663,105,True,True,True,False,,,Santa Isabel · 1D 1B · <35 m²,327400,-23.6,oferta,https://portalinmobiliario.com/MLC-2082120359-studio-central-de-1d-eleuterio-ramirez-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4448365,-70.6566663"
f3833ccf7af99e9b,portalinmobiliario,Departamento En Arriendo En Plaza Italia,CLP,,240000,,True,310000,1,1,6.0,,False,0,0,False,,,"Av. Vicuña Mackenna 58, Plaza Italia, Providencia",Providencia,Providencia,Baquedano,356,True,,-33.4397934,-70.6344765,105,True,True,True,False,,,Providencia · 1D 1B · <35 m²,300000,-20.0,oferta,https://portalinmobiliario.com/MLC-2107219311-departamento-en-arriendo-en-plaza-italia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4397934,-70.6344765"
437bea4c5ad4c2c7,portalinmobiliario,Estudio Parque Forestal Metro Bellas Artes,CLP,,280000,30000,False,310000,1,1,26.0,,True,0,0,False,,S,"Monjitas 375, Santiago, Barrio Lastarria, Santiago",Santiago,Lastarria,Bellas Artes,75,True,,-33.4362992,-70.6425188,105,True,True,True,False,,,Lastarria · 1D 1B · <35 m²,290000,-3.4,normal,https://portalinmobiliario.com/MLC-4272028426-estudio-parque-forestal-metro-bellas-artes-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4362992,-70.6425188"
0bfaeb9d64c4bd79,portalinmobiliario,Dpto En Sexto Piso De Un Ambiente,CLP,,270000,40000,False,310000,1,1,21.0,,False,0,0,False,6,O,"Monjitas 350, Santiago, Barrio Lastarria, Santiago",Santiago,Lastarria,Plaza de Armas,148,True,,-33.437114,-70.6492281,105,True,True,True,False,,,Lastarria · 1D 1B · <35 m²,290000,-6.9,normal,https://portalinmobiliario.com/MLC-2111603181-dpto-en-sexto-piso-de-un-ambiente-_JM,"https://www.google.com/maps/search/?api=1&query=-33.437114,-70.6492281"
